winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
7.0,0.06429204035470892,0.07077683650419435,0.0708624880066498,0.006484796149485425,0.930914188560133,0.9072789026074798,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.12121387083036775,0.12775028140643852,0.12781289105821642,0.006536410576070767,0.9676690064377167,0.9483696818590628,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.11039532055279516,0.11684827967492228,0.11691222483985797,0.006452959122127122,0.9374628083695334,0.9442581449802241,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.1435751329326993,0.1500647829447721,0.1500647829447721,0.006489650012072801,0.981716713353015,0.9567543437925661,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.12542138380503323,0.13199437404578218,0.13199437404578218,0.006572990240748949,0.9962773301021051,0.9502024969755976,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.06381552461347977,0.07035996671494567,0.07035996671494567,0.006544442101465903,0.9810575412634251,0.9069862820148868,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.14201266760968953,0.14869269911303215,0.14869269911303215,0.0066800315033426205,0.9575221938557387,0.9550749193256312,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.1385774485703046,0.14515036819143107,0.14515049573307545,0.006572919621126466,0.9933339880504692,0.9547156409657852,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.13794361201962438,0.14440460422618218,0.14440460422618218,0.006460992206557797,0.9841732448395378,0.9552577132759709,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.19211495920585486,0.19869918031246003,0.19905469926701916,0.00658422110660517,0.9778758781081571,0.9651365173154989,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.1399542836095788,0.1465367865350197,0.14657433307132212,0.006582502925440908,0.9104735165323468,0.9548348655386885,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.08068429188519825,0.08733202421745681,0.08733202421745681,0.006647732332258557,0.9869455396011618,0.9238797864606264,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.05073576077459079,0.05734860041938772,0.058921251837832075,0.0066128396447969265,0.9979145639716289,0.8610774413658069,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.19498295945625432,0.201678161931847,0.20336927436877494,0.0066952024755926876,0.9555525576143414,0.9587631172970923,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.18594847716499618,0.19250298950259204,0.19250298950259204,0.0065545123375958525,0.9879771387801382,0.9659511140344779,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.06671529358061798,0.07343973759021992,0.07351341925780265,0.00672444400960194,0.9901268071706414,0.9075253777362134,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.18129981921720756,0.18790890909469607,0.18793740355876065,0.006609089877488511,0.944698295912388,0.964681940817184,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.050018947027976976,0.05657196809176148,0.05686099328414228,0.006553021063784505,0.9557936603484894,0.8796706518654247,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.09472650058801528,0.10130210908297056,0.10139897454371634,0.006575608494955282,0.9901211341287987,0.9341958438364252,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.07167730366149992,0.07810226671717302,0.07814967429035388,0.006424963055673097,0.9898943620503522,0.9171798131261968,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.11715484026417758,0.12360764777730443,0.12363559008918518,0.006452807513126851,0.9374612220409161,0.9475818425719271,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.13608461200202515,0.14250026647264571,0.14251241583020965,0.006415654470620563,0.9260243678087252,0.954896534517788,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.131320507056459,0.13794795085929373,0.13841588796201879,0.006627443802834726,0.8928543844125636,0.9487386815919084,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
3.0,0.0704557354729643,0.07700105858521836,0.07700105858521836,0.006545323112254059,0.9984125030038993,0.9149969723466822,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.16155426825037691,0.16812332399435573,0.16814764124034295,0.006569055743978813,0.9713983714600802,0.9607881922022221,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.20118559614191203,0.20761071655626048,0.20761071655626048,0.006425120414348451,0.9991853382618818,0.9690520772678548,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.10259788981463303,0.10917916048598045,0.10917916048598045,0.006581270671347422,0.9794309104201023,0.9397204499278732,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.3909606953020522,0.3976506178562674,0.3976506178562674,0.0066899225542151886,0.9833666428482569,0.9831763808383336,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.20726955315804182,0.21387991988035548,0.21432765643392215,0.00661036672231366,0.982265496112253,0.9670686303703584,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.06195838844205933,0.06845244712139507,0.06845244712139507,0.006494058679335744,0.9587867409722142,0.9051303649112933,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.16836482765232128,0.175007461795397,0.17550639828333633,0.006642634143075726,0.9906378749491789,0.9593087733503267,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.865831779414312,0.8723028521303591,0.8723028521303591,0.006471072716047077,0.9980245634407561,0.9925816215088106,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.13361297303303218,0.14020197585279376,0.14020197585279376,0.006589002819761575,0.9324565491314813,0.9530034952811239,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.0884070757918107,0.09495010657074004,0.09495010657074004,0.006543030778929343,0.9989892318116468,0.9310898005780053,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.08471193721875225,0.09124576109318046,0.09151559393868926,0.0065338238744282046,0.9352625414303896,0.9256557661146241,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.08784385325039545,0.09430618292570922,0.09455073512511926,0.006462329675313766,0.9258654320667851,0.9290657881628465,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.13807351014388528,0.14473160921623157,0.14475589595311977,0.006658099072346296,0.8986383571643212,0.9538368660893879,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.1090002075479877,0.11547446385992187,0.11564967489552443,0.006474256311934171,0.993937040697126,0.9425033632516155,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.07464049555923653,0.08132029514557412,0.08182426718596492,0.00667979958633759,0.9423268483133588,0.9122048766975014,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.1081566960467787,0.11471240833704248,0.11473702948761327,0.0065557122902637766,0.950595257667587,0.9426485636745113,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.04426602673174057,0.05069999609634799,0.05070631803243574,0.006433969364607418,0.9833147560798521,0.872988385854097,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.06943485350891004,0.07585533449770226,0.07585533449770226,0.006420480988792221,0.8218186043128907,0.9153588731589246,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.17453594203370731,0.181116322017819,0.181116322017819,0.006580379984111678,0.9966120250928567,0.9636676589343269,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.0613555531293026,0.06784858893206692,0.06787167767644638,0.006493035802764328,0.9766629920032704,0.9039934657544927,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.052470138579923525,0.05898430268223405,0.05898430268223405,0.006514164102310524,0.9851845188595686,0.88956105597443,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.42324792154611673,0.42974368840670146,0.42974399868292,0.0064957668605847285,0.9999751645523165,0.9848838444359608,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.12771534897458242,0.13428854659739156,0.13435996795880717,0.0065731976228091404,0.9859962997379474,0.9505461404526243,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
3.0,0.07012050442976789,0.076697169655141,0.07712702438016397,0.006576665225373118,0.9092996515703026,0.9091560966249586,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.12761065512130093,0.13411468584788308,0.13417719591771912,0.0065040307265821495,0.9593303935378255,0.9510606794880035,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.12257286422556347,0.12911006341575842,0.12929441761120264,0.0065371991901949505,0.9578813934516526,0.9480135839595848,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.1771522314484705,0.1835752426525218,0.18362072533948998,0.006423011204051282,0.9247496584160445,0.9647725283784818,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.7950197710995902,0.8016178246228522,0.8019268656794872,0.006598053523262037,0.9963993207906998,0.991386877188552,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.1237260033879188,0.13027556012585412,0.13030197525496956,0.006549556737935322,0.9739509492293802,0.9495328305332044,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.15315459500260353,0.15964964918212157,0.1596734809986875,0.006495054179518039,0.9427444205378761,0.9591736463981921,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.08932882145689044,0.09599135250898268,0.0961440808558218,0.006662531052092233,0.9123855938411692,0.9291141031432653,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,1.0458225135120718,1.0525304366895736,1.0526498717556538,0.0067079231775017956,0.968065449591573,0.9935141223812671,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.09261601255333278,0.09905448649271585,0.09913804288032207,0.0064384739393830714,0.9803546787986741,0.9342126378784521,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.041310605412925056,0.04771240118368188,0.04771240118368188,0.006401795770756821,0.9607601357092135,0.8658253281759732,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.08107289119115735,0.0876437464264709,0.08804602231384126,0.006570855235313547,0.964504010150971,0.9208012930121012,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.19170460421441138,0.19831903256303499,0.19839317896663475,0.006614428348623608,0.9875087015733756,0.9662862665588506,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.16954932536038225,0.17621959226807443,0.17638118775388106,0.0066702669076921794,0.9799168348098523,0.9612664906019804,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.057395675668935116,0.06373970935352928,0.07002852764557914,0.006344033684594165,0.8539289275392967,0.8196042041526268,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.18041187702452374,0.1868246785041565,0.18684939674380202,0.006412801479632746,0.9702705173775054,0.9655470136298857,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.08457051513788355,0.09126757589118699,0.09152999701660204,0.006697060753303438,0.8615477814359501,0.9239650157810433,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.1590581586286308,0.1656742228446763,0.16637096414182873,0.00661606421604552,0.9416919424874354,0.956045181616163,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.058960169154535405,0.06550450963524693,0.06550450963524693,0.006544340480711522,0.9984526173587596,0.9000932833914367,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.22248451360396576,0.22916772026554003,0.2301482796042271,0.006683206661574265,0.8446939205431324,0.9667007460866521,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.11161024545985841,0.11813380862216458,0.11813586777798608,0.006523563162306165,0.9894081870566509,0.9447617185121852,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
3.0,0.1168244390589849,0.12331999496689697,0.12468643407559234,0.006495555907912065,0.9383570039480343,0.9369458668467411,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.6642296396461881,0.670737118678635,0.6788051610027551,0.006507479032446861,0.865065820434594,0.978527680409743,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.17779454463269273,0.18440357403466096,0.18440357403466096,0.006609029401968225,0.9941656881316923,0.9641599712122392,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.13918515191320285,0.14561822720663636,0.14561822720663636,0.00643307529343351,0.9947524273909458,0.9558223210319351,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.0530551965113069,0.05960946470118787,0.06479102694982974,0.006554268189880974,0.9796656880511463,0.8188664234692504,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.2004568674342597,0.20699964218296868,0.20699964218296868,0.006542774748708985,0.9754458923259767,0.9683923378817931,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.19018635646702364,0.1967679262645352,0.1967812389966873,0.006581569797511566,0.9443537933120725,0.9664862231618804,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.13753933416395042,0.14401863064958184,0.14411241273778136,0.0064792964856314195,0.9880455573237599,0.9543892267920673,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.168306678708076,0.17490036711769347,0.17562814920446584,0.006593688409617465,0.9763844217095382,0.9583126592772654,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.08587179881924759,0.09247509372887826,0.09247509372887826,0.006603294909630672,0.9821921321269643,0.9285938013862366,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.08131371124738215,0.08774408974842471,0.08775478853363286,0.006430378501042555,0.9555850854806205,0.9266014152175627,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
7.0,0.3041600048441568,0.3105367154007262,0.3106736518300245,0.006376710556569409,0.8694518374883122,0.9790337965659494,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.08218557793362864,0.08863935930080116,0.08863935930080116,0.00645378136717252,0.9885586138331808,0.9271905684102323,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
11.0,0.05608195962518312,0.06270137571461203,0.06270137571461203,0.006619416089428905,0.9746149022178382,0.8944294919531358,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.05363893684849633,0.06025827462875934,0.06025827462875934,0.00661933778026301,0.998937851674062,0.8901505590552735,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.07156087633810808,0.07810184417515009,0.07876498691009484,0.006540967837042014,0.9655370184846525,0.908536637221691,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
1.0,0.05349500718385207,0.060150268525585145,0.060150268525585145,0.006655261341733075,0.9917396709510498,0.8893560826099681,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.05116417995405411,0.0576084978986404,0.06264977985221636,0.006444317944586289,0.9922569722865963,0.8166697484770823,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.09140742006884749,0.09795183374560927,0.09795183374560927,0.006544413676761784,0.9577382416678931,0.9331874307350051,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
8.0,0.0628284326265271,0.06935495936491784,0.06940827320602946,0.006526526738390742,0.9416583701698709,0.905200918052363,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.13993984966699125,0.14642986146879447,0.14655256302570938,0.006490011801803225,0.9950491940391756,0.9548782141902351,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.10645220244829319,0.11312553208293229,0.1132448120684372,0.006673329634639097,0.9706596311406968,0.9400183593749175,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.18723139404842923,0.1936817773992987,0.19368182320224234,0.006450383350869476,0.9382932446097859,0.9666957433218832,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.23776628646510295,0.24434125814989227,0.24434125814989227,0.006574971684789321,0.9872231652939858,0.9730910295928988,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
4.0,0.15252250242414944,0.15900905600442578,0.15900905600442578,0.006486553580276333,0.9974344312578758,0.9592063889738721,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.15722809097153437,0.1638205923684981,0.16384348016988146,0.00659250139696374,0.9836807413269805,0.9596237263058139,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
9.0,0.10979620403618,0.11613191508662624,0.11627840083913134,0.006335711050446238,0.9804474787716253,0.9442527867929719,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.04107633567497035,0.04777361849020418,0.04777361849020418,0.006697282815233831,0.98187003449581,0.8598121091328452,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
5.0,0.09555349776060072,0.10202497685669862,0.10202497685669862,0.006471479096097896,0.9940998330725084,0.9365696587690723,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
10.0,0.07326998048968288,0.07999858674514015,0.07999858674514015,0.006728606255457278,0.9988820285745617,0.9158909359624902,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.24267308389511727,0.24935514629822048,0.24941558204293768,0.006682062403103206,0.9796507297079968,0.9729668126883121,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
6.0,0.06349403893881318,0.07004118971004855,0.07355600651304973,0.006547150771235369,0.9800186020224135,0.8632067175581176,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
0.0,0.06632345745822943,0.0727435561354737,0.0727435561354737,0.006420098677244274,0.951596732544572,0.9117434035629517,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
2.0,0.1483078396383005,0.15473652888998257,0.15473652888998257,0.006428689251682079,0.9940339343160374,0.9584539649570861,1199.0,4.0,4.0,0.0,0.0,4.0,4.0
