winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
3.0,0.09348385408814304,0.10001291547308,0.1046705454617424,0.00652906138493696,0.9736970728082872,0.8931247436969921,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
0.0,0.06057971944036106,0.06722333098669933,0.06722333098669933,0.006643611546338274,0.9928471090374468,0.9011710450996133,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
0.0,0.16110894113351132,0.16760309574658772,0.16775779876715907,0.006494154613076397,0.9239538396804143,0.9603663276312054,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
2.0,0.05598996327590376,0.06260767352497952,0.06299179746578377,0.006617710249075759,0.9594358428886286,0.8888453025382661,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
5.0,0.07574209048588623,0.08211717137855615,0.08211717137855615,0.006375080892669915,0.9930829581290255,0.9223660437196368,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
1.0,0.07758615063980305,0.0840365947308355,0.08404829867636647,0.006450444091032445,0.9438038844315773,0.9231138745419899,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.06328863030209003,0.06991832055212671,0.07032545105802238,0.0066296902500366794,0.9096390834193911,0.8999392019522693,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
11.0,0.11015847519268228,0.11685877664345751,0.11740358442238821,0.006700301450775228,0.875779118110513,0.9382888583397941,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
1.0,0.05674253780248321,0.06338113787459468,0.06346353049892542,0.006638600072111471,0.9902979137199514,0.8940967726881187,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
10.0,0.12145840406073695,0.12804838331123827,0.12806685598487708,0.006589979250501324,0.9877646395464751,0.9483984214860363,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
0.0,0.0643397641831047,0.07082489333258563,0.07086819613217116,0.00648512914948092,0.9943367841675217,0.9078792419537426,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
4.0,0.16216683887161332,0.1686830789847935,0.1689148517077038,0.006516240113180194,0.9533236924031179,0.9600508021179365,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
5.0,0.0422409447891045,0.04868888878625349,0.04868888878625349,0.006447943997148993,0.9851986942183713,0.8675684707971921,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.0679238852480261,0.0743594626490702,0.0743594626490702,0.006435577401044099,0.9895284300423884,0.9134531481028048,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.11551989270089001,0.12194358738589121,0.12209771487941962,0.006423694685001202,0.9273469578709452,0.9461265742358431,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.06638828316143823,0.07310189343589119,0.07310189343589119,0.006713610274452955,0.9725383598797852,0.908160924992447,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.12801236668624957,0.13440158383939005,0.13440158383939005,0.006389217153140475,0.932398229455957,0.9524617421117925,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.05606529607634165,0.062449685097061516,0.06289487692557214,0.0063843890207198675,0.9333512342159194,0.8914127639153757,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.04484985329770698,0.05151344208940451,0.05151344208940451,0.006663588791697532,0.9925825975284723,0.8706436898522041,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
0.0,0.0498852097537169,0.05641262581698773,0.05641262581698773,0.006527416063270827,0.9995378892435345,0.8842915753567847,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.13167722471015214,0.13819510576570285,0.13819510576570285,0.006517881055550706,0.9705941204968203,0.9528356592700093,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.04018359528773069,0.04651772273523558,0.04651772273523558,0.006334127447504889,0.9804473369767169,0.8638341028954325,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
4.0,0.06585486890344969,0.07233381584199282,0.07233381584199282,0.006478946938543131,0.9909064783901083,0.9104299024857772,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
10.0,0.12871200012063794,0.1352445534475164,0.1352445534475164,0.006532553326878465,0.9989318632252816,0.9516982151195204,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
3.0,0.05098541578707119,0.05738967771776991,0.05742487025625164,0.006404261930698721,0.9911687495704454,0.8878629687721513,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
0.0,0.08413917986784686,0.09065034850511594,0.09065034850511594,0.0065111686372690825,0.984120649594662,0.9281727125748268,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.024075191218612166,0.03059814016114968,0.030600191124933257,0.006522948942537514,0.9609110377920169,0.7867660407844814,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
1.0,0.07211500918995686,0.07869362110405323,0.07869362110405323,0.006578611914096366,0.9805782180302154,0.916402221402447,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.06949828609076648,0.07600892036908627,0.07601615952683802,0.006510634278319785,0.9880093021640128,0.9142567386113428,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
7.0,0.3709448399056428,0.37732984748845066,0.3794774537791573,0.006385007582807856,0.9733149646733985,0.9775148331250262,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
11.0,0.6752461040293405,0.6818233749811212,0.6818233749811212,0.006577270951780734,0.9926377074996802,0.9903534094119861,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
11.0,0.11907993380773098,0.12576061473227412,0.1432645080512619,0.006680680924543145,0.9217362859329413,0.8311893533681255,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
9.0,0.13448123143386834,0.14126008301387843,0.1432796509353058,0.006778851580010098,0.8877013185958653,0.9385926791138668,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.14444064594601197,0.15103277501088552,0.15258217541891572,0.006592129064873553,0.9997313329170241,0.9466416739009579,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
2.0,0.24465229922750717,0.251178054094203,0.25125434832894833,0.006525754866695849,0.9498159880291809,0.973723642415145,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
11.0,0.08396892686180729,0.09040238920731501,0.09185234004957951,0.0064334623455077206,0.8943510689498926,0.9141729738892123,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
10.0,0.07069218501697963,0.07721303902592998,0.07751393813750827,0.006520854008950347,0.919447077980797,0.9119932068420136,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
5.0,0.3368423988986295,0.3435327993634351,0.3435480175582619,0.006690400464805624,0.9849945079884888,0.9804812768028992,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
8.0,0.0740357963530247,0.08058496709667215,0.08058496709667215,0.006549170743647456,0.9825092230709229,0.9187296219183055,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
5.0,0.10827829746207643,0.11477519868343658,0.1147854097410106,0.006496901221360152,0.9916561767638418,0.9433106324783253,1199.0,4.0,4.0,4.0,0.0,0.0,4.0
